Survived,Pclass,Sex,SibSp,Parch,Cabin_Type,Below 10,Above 65,Fare2,Embarked_C,Embarked_S
0,3,1,1,0,1,0,0,-0.4999583222338392,0,0
1,1,0,1,0,0,0,0,0.7885027560515823,1,0
1,3,0,0,0,1,0,0,-0.4863761512721261,0,0
1,1,0,1,0,0,0,0,0.4226232164247428,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,1,0,0,1,0,0,-0.4756452301256349,0,0
0,1,1,0,0,0,0,0,0.3977225696616022,0,0
0,3,1,3,1,1,1,0,-0.221775339203198,0,0
1,3,0,0,2,1,0,0,-0.4218195896477352,0,0
1,2,0,1,0,1,0,0,-0.0407642376663415,1,0
1,3,0,1,1,0,1,0,-0.3098079287698567,0,0
1,1,0,0,0,0,0,0,-0.1116088414026367,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,1,1,3,1,0,0,-0.0165336446706454,0,0
0,3,0,0,0,1,0,0,-0.4878007700929992,0,0
1,2,0,0,0,1,0,0,-0.323893143100522,0,0
0,3,1,4,1,1,1,0,-0.0597953744005462,0,0
1,2,1,0,0,1,0,0,-0.3842583473748022,0,0
0,3,0,1,0,1,0,0,-0.2836496735843352,0,0
1,3,0,0,0,1,0,0,-0.5004613656027915,1,0
0,2,1,0,0,1,0,0,-0.1226757955195881,0,0
1,2,1,0,0,0,0,0,-0.3842583473748022,0,0
1,3,0,0,0,1,0,0,-0.4842794665103328,0,0
1,1,1,0,0,0,0,0,0.0684806846822991,0,0
0,3,0,3,1,1,1,0,-0.221775339203198,0,0
1,3,0,1,3,1,0,0,-0.0142699495103599,0,0
0,3,1,0,0,1,0,0,-0.5004613656027915,1,0
0,1,1,3,2,0,0,0,4.646175342148545,0,0
1,3,0,0,0,1,0,0,-0.4872977267240468,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
0,1,1,0,0,1,0,0,-0.088050314347861,1,0
1,1,0,1,0,0,0,0,2.302411774913634,1,0
1,3,0,0,0,1,0,0,-0.4898974548547925,0,0
0,2,1,0,0,1,0,1,-0.4345626842700357,0,0
0,1,1,1,0,1,0,0,1.007578143230324,1,0
0,1,1,1,0,1,0,0,0.40048930819084,0,0
1,3,1,0,0,1,0,0,-0.5003768543168076,1,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,0,2,0,1,0,0,-0.2836496735843352,0,0
1,3,0,1,0,1,0,0,-0.4196383935999578,1,0
0,3,0,1,0,1,0,0,-0.4551874623970813,0,0
0,2,0,1,0,1,0,0,-0.223284469310055,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,1,0
1,2,0,1,2,1,1,0,0.1908047346237004,1,0
1,3,0,0,0,1,0,0,-0.4872977267240468,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
0,3,1,1,0,1,0,0,-0.3339540104795687,0,0
1,3,0,0,0,1,0,0,-0.4898974548547925,0,0
0,3,1,2,0,1,0,0,-0.209617787062358,1,0
0,3,0,1,0,1,0,0,-0.2876740205359539,0,0
0,3,1,4,1,1,1,0,0.1527404489818151,0,0
0,3,1,0,0,1,0,0,-0.4888913681168878,0,0
1,1,0,1,0,0,0,0,0.8980837113706833,1,0
1,2,0,1,0,1,0,0,-0.1226757955195881,0,0
0,1,1,0,1,0,0,1,0.6012881236888056,1,0
1,1,1,0,0,0,0,0,0.0684806846822991,0,0
1,2,0,0,0,1,0,0,-0.4345626842700357,0,0
0,3,1,0,0,1,0,0,-0.5003768543168076,1,0
1,2,0,1,2,1,1,0,-0.0874627596929246,0,0
0,3,1,5,2,1,0,0,0.2978684609245637,0,0
0,3,1,0,0,1,0,0,-0.5003768543168076,1,0
0,1,1,1,0,0,0,0,1.0338209097018294,0,0
0,3,1,3,2,1,1,0,-0.0844444994792106,0,0
0,1,1,0,0,1,0,0,-0.088050314347861,1,0
1,3,1,1,1,1,0,0,-0.3390689554550761,1,0
1,2,0,0,0,0,0,0,-0.4345626842700357,0,0
0,3,1,0,0,1,0,0,-0.4816817505530629,0,0
1,3,0,4,2,1,0,0,-0.4863761512721261,0,0
0,3,1,2,0,1,0,0,-0.4715363718880322,0,0
0,2,1,0,0,1,0,0,-0.4345626842700357,0,0
0,3,0,5,2,1,0,0,0.2978684609245637,0,0
0,2,1,0,0,1,0,0,0.8331066054898479,0,0
0,3,1,1,0,1,0,0,-0.3549973206895828,1,0
1,3,1,0,0,1,0,0,0.4909526033162764,0,0
0,3,1,0,0,0,0,0,-0.4919096283306018,0,0
0,3,1,0,0,1,0,0,-0.4869637059270624,0,0
0,3,1,0,0,1,0,0,-0.4838609344273645,0,0
1,2,1,0,2,1,1,0,-0.0623105912453079,0,0
